Point,xcoord,ycoord,2009_DEM_40cm
point 2,415896.925,5089906.236,2083.65820
point 15,415850.136,5090575.404,2018.61340
point 14,415979.815,5091009.61,1990.59155
point 13,416334.244,5090741.102,1987.79590
point 6,416344.347,5090383.758,1968.69067
point 19,415331.442,5089685.585,2163.42554
point 1,415973.892,5090047.232,2068.41650
point 3,416036.999,5089748.814,2056.56372
point 8,415965.403,5088315.473,2264.03174
point 4,416136.27,5089417.746,2129.90869
point 12,416336.593,5090645.985,1988.78699
point 17,415237.755,5089086.536,2245.81934
point 9,415975.488,5089020.436,2165.57788
point 18,415237.782,5089214.057,2211.98413
point 5,415980.516,5089465.561,2146.21313
point 7,415982.89,5088628.282,2300.60889
point 11,416118.153,5090180.901,2036.23328
point 10,415931.814,5088913.788,2183.77344
"30",416681.340038622,5090888.32817185,1877.51892
"31",417246.350242392,5090938.19902948,1648.35876
"32",416458.242197735,5090800.43705288,1964.28943
"33",415053.531609362,5090249.9004987,2264.63013
"34",415285.856321583,5090385.46740543,2147.55444
"35",415973.579721716,5088647.96386341,2313.25317
